TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
Tcf12,Tcf12,MA0521.1,-1.14465,0.873986,0.853633,0.863658,0.0629156,38.0,False,0.9808576972010178
NFIC,NFIC,MA1527.1,-1.15076,0.875186,0.733853,0.743314,0.0465471,38.0,False,0.9808576972010178
HNF1B,HNF1B,MA0153.2,-1.15315,0.875652,0.709227,0.722486,0.0561803,38.0,False,0.9808576972010178
Hic1,Hic1,MA0739.1,-1.15595,0.876255,0.856322,0.864458,0.0405496,38.0,False,0.9808576972010178
ZNF354C,ZNF354C,MA0130.1,-1.15576,0.876267,0.955299,0.962358,0.0430041,38.0,False,0.9808576972010178
FOSB,FOSB::JUNB,MA1135.1,-1.16074,0.877188,0.793566,0.80477,0.0426025,38.0,False,0.9808576972010178
JUNB,FOSB::JUNB,MA1135.1,-1.16074,0.877188,0.793566,0.80477,0.0426025,38.0,False,0.9808576972010178
ISL2,ISL2,MA0914.1,-1.16579,0.878258,0.855708,0.865869,0.0507415,38.0,False,0.9808576972010178
HOXB5,HOXB5,MA0904.2,-1.17127,0.879351,0.841427,0.853491,0.0565906,38.0,False,0.9808576972010178
CUX2,CUX2,MA0755.1,-1.17604,0.8803,0.746523,0.75931,0.0574619,38.0,False,0.9808576972010178
FOSL2,FOSL2,MA0478.1,-1.17823,0.880705,0.811451,0.822129,0.0382919,38.0,False,0.9808576972010178
TBX1,TBX1,MA0805.1,-1.18783,0.882708,0.822153,0.833,0.0652373,38.0,False,0.9808576972010178
Zic2,Zic2,MA1629.1,-1.18892,0.882905,0.795215,0.804892,0.0547991,38.0,False,0.9808576972010178
RARA,RARA,MA0730.1,-1.19144,0.883368,0.702884,0.710809,0.0390276,38.0,False,0.9808576972010178
ATF2,ATF2,MA1632.1,-1.19757,0.884561,0.767447,0.77972,0.0589536,38.0,False,0.9808576972010178
NEUROG2,NEUROG2,MA1642.1,-1.20153,0.885297,0.822191,0.832284,0.0391721,38.0,False,0.9808576972010178
TGIF1,TGIF1,MA0796.1,-1.2065,0.886274,0.68627,0.696999,0.0468085,38.0,False,0.9808576972010178
NFIC,NFIC,MA0161.2,-1.20797,0.886598,0.822298,0.833577,0.0600291,38.0,False,0.9808576972010178
CUX1,CUX1,MA0754.1,-1.21997,0.888848,0.760744,0.774403,0.0591144,38.0,False,0.9808576972010178
RFX1,RFX1,MA0509.2,-1.23567,0.891819,0.763289,0.773599,0.0498932,38.0,False,0.9808576972010178
RFX5,RFX5,MA0510.2,-1.23825,0.892269,0.700689,0.710932,0.0423607,38.0,False,0.9808576972010178
RUNX3,RUNX3,MA0684.2,-1.24049,0.892687,0.812527,0.823821,0.0472889,38.0,False,0.9808576972010178
NKX6-2,NKX6-2,MA0675.1,-1.24641,0.893791,0.855293,0.869819,0.0656895,38.0,False,0.9808576972010178
LHX9,LHX9,MA0701.2,-1.26563,0.89728,0.815505,0.830304,0.0675323,38.0,False,0.9808576972010178
KLF17,KLF17,MA1514.1,-1.26925,0.897886,0.772106,0.782544,0.0366302,38.0,False,0.9808576972010178
MYF5,MYF5,MA1641.1,-1.27576,0.899149,0.806763,0.818577,0.0695323,38.0,False,0.9808576972010178
Pou5f1,Pou5f1::Sox2,MA0142.1,-1.27647,0.899213,0.737272,0.749041,0.0551642,38.0,False,0.9808576972010178
Sox2,Pou5f1::Sox2,MA0142.1,-1.27647,0.899213,0.737272,0.749041,0.0551642,38.0,False,0.9808576972010178
FOSL1,FOSL1::JUNB,MA1137.1,-1.27821,0.899485,0.785523,0.796883,0.0432963,38.0,False,0.9808576972010178
JUNB,FOSL1::JUNB,MA1137.1,-1.27821,0.899485,0.785523,0.796883,0.0432963,38.0,False,0.9808576972010178
MEOX2,MEOX2,MA0706.1,-1.28095,0.899987,0.8285,0.841309,0.0549942,38.0,False,0.9808576972010178
FOS,FOS::JUN,MA0099.3,-1.28652,0.900936,0.799005,0.810925,0.0430936,38.0,False,0.9808576972010178
JUN,FOS::JUN,MA0099.3,-1.28652,0.900936,0.799005,0.810925,0.0430936,38.0,False,0.9808576972010178
